design,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds,family
BR,MEAN_CURVE,0.596860344871866,0.006574362056207359,0.6283263652199291,0.2032054111909468,0.8157754904806509,0.5705652539119956,0.2501826779778821,0.6212804960594598,0.18067739547170783,0.9617412400188984,0.6508960573476702,90,83,88,86,5,MEAN_CURVE
BR,STRAW1BIT_publication_id_2,0.5973469163062357,0.018410170888747898,0.6530241555915699,0.20498354722826623,0.8129353340141587,0.5883244967865462,0.24140737746328972,0.6909767620123165,0.19854571534170273,1.066118422493988,0.49704610060561116,90,83,88,86,5,STRAW1BIT_publication_id
BR,STRAW1BIT_publication_id_1,0.6343912588939378,0.02811682555326898,0.6688074282343954,0.21353065475675842,0.8872180039561002,0.5186059545133531,0.12732617323486306,0.7239905376319138,0.20296137755821597,1.1239635135025972,0.4544802867383513,90,83,88,86,5,STRAW1BIT_publication_id
BR,STRAW1BIT_publication_id_0,0.6448736007157908,0.022993603350999314,0.6672532057873527,0.21302714459874134,0.9004115579440704,0.4941000207551694,0.12181486941296873,0.7584276439118236,0.20649192281755285,1.1848050956857552,0.38057100482017053,90,83,88,86,5,STRAW1BIT_publication_id
BR,STRAW1BIT_chemotype_0,0.6654588017811041,0.09224185530723056,0.71707340502924,0.2145803900321729,0.9409613380120823,0.5137510181099907,0.08811798704220095,0.7086643605683663,0.19526787898459141,1.106640335701054,0.4860462241997281,90,83,88,86,5,STRAW1BIT_chemotype
BR,STRAW1BIT_chemotype_1,0.7015226223389007,0.07820554012207218,0.7284591447131112,0.22438893357711268,0.9872038855432793,0.4432853399381605,-0.02160863221419667,0.7480854576612482,0.20536049248688845,1.1667881121848105,0.44132987269805957,90,83,88,86,5,STRAW1BIT_chemotype
BR,STRAW1BIT_chemotype_2,0.7082131293510013,0.06422251215251752,0.7448549347966811,0.22374862698197853,0.9931821640692601,0.42387680529465277,-0.026599964625233997,0.7442698601097197,0.20373351257365363,1.1607840832541496,0.40526510938079346,90,83,88,86,5,STRAW1BIT_chemotype
BQ,DIR_ORACLE,0.47827764785828314,0.005402875563708133,0.5224320057728139,0.19045743386982694,0.6313269894422902,0.8479682463228333,0.5299298720357751,0.4884128476801955,0.16967082600343245,0.7262842404819478,0.9090347299468545,90,83,88,86,5,DIR_ORACLE
BQ,REAL_1BIT,0.49054320488997477,0.009134233360714113,0.5432255566743154,0.18901203506946682,0.6462779108490173,0.8101769497198481,0.5078459215681232,0.4970622073752167,0.16352458119011853,0.750815562743633,0.9065628476084538,90,83,88,86,5,REAL_1BIT
BQ,MEAN_CURVE,0.5968492850136082,0.008581770968157251,0.630679988716541,0.2032949394318598,0.8152697789967656,0.567659989233427,0.24620276132532415,0.6225976618866302,0.18086479285445847,0.9638598763307676,0.6423433444568039,90,83,88,86,5,MEAN_CURVE
BQ,STRAW1BIT_publication_id_2,0.6025568321554542,0.013400823101375676,0.6553758586899053,0.20690374937905273,0.8198939696960081,0.5808255673245972,0.23468256022092288,0.7171359950184826,0.20143532385090362,1.1118198290259913,0.45915214435792856,90,83,88,86,5,STRAW1BIT_publication_id
BQ,STRAW1BIT_publication_id_1,0.6192712173501251,0.02942714368992422,0.6653248735399429,0.21083784354976914,0.8615606951492367,0.5428452169385019,0.16903186033492462,0.7247468832102871,0.20405868902041904,1.1241862461163292,0.449956742059078,90,83,88,86,5,STRAW1BIT_publication_id
BQ,STRAW1BIT_publication_id_0,0.6353839588873263,0.022237490516267826,0.6658568339705576,0.2114733343685808,0.8881028221339831,0.49997574372683556,0.13024045942085477,0.7458911672238836,0.204186803373375,1.162313783288772,0.3983438388332715,90,83,88,86,5,STRAW1BIT_publication_id
BQ,STRAW1BIT_chemotype_0,0.6449714235017493,0.08532640325463015,0.7281883212623431,0.2123561289292187,0.9053305175070326,0.5445770712873275,0.1384831327602404,0.6610849521935827,0.18703101684745338,1.028073296344291,0.5768384624891855,90,83,88,86,5,STRAW1BIT_chemotype
BQ,STRAW1BIT_chemotype_1,0.6457472342208525,0.054138868548172764,0.7178026347856923,0.21489815376837534,0.8962277414796136,0.5325821275155546,0.12579619060898675,0.6304586937556055,0.18556078582730037,0.9724783697966577,0.6689160795946113,90,83,88,86,5,STRAW1BIT_chemotype
BQ,STRAW1BIT_chemotype_2,0.7143038175189524,0.05319133405134129,0.7348326992691763,0.2247248683713723,1.0038837269722836,0.4161376170191902,-0.050246160659574456,0.7967974251989216,0.21189294998942756,1.2485768199821403,0.29815844765789146,90,83,88,86,5,STRAW1BIT_chemotype
BP,DIR_ORACLE,0.4864300947790248,0.011500060723747783,0.5286137648696313,0.19168981778995092,0.644343734947004,0.8521133732755206,0.5238400997462688,0.5014630463659392,0.170773261410648,0.7494558164824765,0.9090841675936225,90,83,88,86,5,DIR_ORACLE
BP,REAL_1BIT,0.5000794414203691,0.01579982613981003,0.5491389793670566,0.19012718046266608,0.6587344933567273,0.8122458223013377,0.5037694544333655,0.5106278431235807,0.16563653089157898,0.7734534206797732,0.9026819923371647,90,83,88,86,5,REAL_1BIT
BP,MEAN_CURVE,0.6217330292820759,0.011436410641341679,0.6416951823369196,0.20771349630614133,0.855764037026175,0.5117685801091951,0.17095014672657893,0.6657650872886433,0.18796843242466912,1.0347955766847072,0.5011247064639723,90,83,88,86,5,MEAN_CURVE
BP,STRAW1BIT_chemotype_0,0.6605796126379527,0.05537310815708726,0.7252404775426285,0.21604772553805515,0.9315822940693644,0.524420374164813,0.10983362660261317,0.6914254181376014,0.19218202283032407,1.0771452236135857,0.506983067605982,90,83,88,86,5,STRAW1BIT_chemotype
BP,STRAW1BIT_publication_id_0,0.694348923665326,0.034594700847252684,0.7097388058785633,0.22210242758837576,0.9741371113250012,0.4715655334003821,0.028450999754398666,0.717780387424952,0.19745618776079937,1.121224522364845,0.4771474477814856,90,83,88,86,5,STRAW1BIT_publication_id
BP,STRAW1BIT_publication_id_2,0.6994828063444993,0.05160403239546538,0.7420104228375038,0.22210025876153558,0.9778290779082409,0.4732718607766798,0.038245286543278134,0.7324208416443603,0.1991053395272069,1.1457657357110653,0.4269929551353356,90,83,88,86,5,STRAW1BIT_publication_id
BP,STRAW1BIT_chemotype_2,0.7107637574225809,0.062286731832294204,0.755326703476758,0.22283701760639185,0.9979213962742204,0.4231300416989474,0.002987136256513623,0.725050738454472,0.19943567253015618,1.1302797412923455,0.4300580892349524,90,83,88,86,5,STRAW1BIT_chemotype
BP,STRAW1BIT_publication_id_1,0.7464437731739075,0.027194647176306385,0.7391712075110269,0.2320267887870716,1.065510192445523,0.3688998878950899,-0.1227516524430368,0.778571893507038,0.2090774288373901,1.2180988042536651,0.3442096156222964,90,83,88,86,5,STRAW1BIT_publication_id
BP,STRAW1BIT_chemotype_1,0.7492917684675067,0.029481873476412596,0.7653527351674609,0.23343254905086272,1.063775840299034,0.3542157943774288,-0.1570681257580722,0.8152368743161783,0.216146544096516,1.2788148913621167,0.260734149054505,90,83,88,86,5,STRAW1BIT_chemotype
