seed,fold,model,mae,macro_mae,n_test,r2
130363,0,RIDGE_donors,0.9545982474843413,1.002168990728425,54,-0.012032775995796552
130363,0,ET_donors,0.9633155120781675,1.0120893073214239,54,-0.050785765874071576
130363,1,NULL_global_mean,0.9752990988403838,1.0415383959190911,21,0.0
130363,1,1NN_tanimoto,0.814879158078166,0.8604585526372344,21,0.28153567476608776
130363,1,3NN_tanimoto,0.963681517806987,1.028697911619021,21,0.025130579678319664
130363,1,5NN_tanimoto,1.0313559675231234,1.0992721277716242,21,-0.04450624038700757
130363,1,KERNEL_tanimoto,0.9696061147373383,1.0352461503315145,21,0.008007566655238496
130363,1,1NN_mechanism,0.8659737323528508,0.9207050961170808,21,0.16198063073950408
130363,1,3NN_mechanism,0.9040155630349871,0.9599031589548416,21,0.14500632264530144
130363,1,5NN_mechanism,0.9078481676649329,0.9669873667251716,21,0.11979107880003836
130363,1,KERNEL_mechanism,0.9179341844615934,0.9775460026939,21,0.09987720567610459
130363,1,1NN_donors,0.8655290095044785,0.9219019707429263,21,0.19480097339449753
130363,1,3NN_donors,0.91009648929659,0.9761763039486689,21,0.09592766403622177
130363,1,5NN_donors,0.9687754519716089,1.0364814417083836,21,-0.012088711917891848
130363,1,KERNEL_donors,0.825641718863486,0.883401081520514,21,0.1770556913499285
130363,1,RIDGE_mech,0.9729929294126587,1.039075040317194,21,-0.004373892270002733
130363,1,ET_mech,0.8475923707296841,0.8994475346933438,21,0.22199098486826319
130363,1,RIDGE_donors,0.9653178657929241,1.0316680579961506,21,0.01014248830440767
130363,1,ET_donors,0.9016909801569742,0.9639388747831434,21,0.11592940744482172
130363,2,NULL_global_mean,0.9178509938435481,0.8610378753715352,27,0.0
130363,2,1NN_tanimoto,0.8764005315526264,0.8101465767310303,27,0.12771600340746336
130363,2,3NN_tanimoto,0.907913545959667,0.8378396694506702,27,-0.042739031438905783
130363,2,5NN_tanimoto,0.8968815207864049,0.8306856426847752,27,-0.006713903123955589
130363,2,KERNEL_tanimoto,0.9103588995362512,0.8539345366695277,27,0.017282416762029684
130363,2,1NN_mechanism,1.0933951557354342,1.0053521220302548,27,-0.40203100601921826
130363,2,3NN_mechanism,0.9842849329911947,0.920930152107635,27,-0.08015813189102716
130363,2,5NN_mechanism,0.9462112375267802,0.8882708348029158,27,-0.0201663024454084
130363,2,KERNEL_mechanism,0.9119429413954381,0.8557445421451426,27,0.020874096476248494
130363,2,1NN_donors,0.9853976856538325,0.9460502279970346,27,-0.033959352050562996
130363,2,3NN_donors,0.9420634597971735,0.8931670557997933,27,-0.00038339712202550835
130363,2,5NN_donors,0.9420521969084596,0.8875812343210142,27,-0.02803397406022512
130363,2,KERNEL_donors,0.906271784804828,0.8507843466457077,27,0.025695699629996738
130363,2,RIDGE_mech,0.9236051577729297,0.867441525934997,27,0.014795194448381732
130363,2,ET_mech,0.9740992186280534,0.91331567005804,27,-0.11592541738486539
130363,2,RIDGE_donors,0.9122371969846462,0.8562907111494558,27,0.02995391075946152
130363,2,ET_donors,0.9073966550123573,0.8516239950696264,27,0.007537448199065877
130363,3,NULL_global_mean,0.9190747606563484,0.9446266845175977,28,0.0
130363,3,1NN_tanimoto,0.7581154923240118,0.7751432279422406,28,0.2872796618415149
130363,3,3NN_tanimoto,0.8455133208905435,0.8698331218257793,28,0.14999975269441046
130363,3,5NN_tanimoto,0.8922119759981747,0.9209677962205811,28,0.0747682549381471
130363,3,KERNEL_tanimoto,0.9196120358059195,0.9466656326041044,28,-0.0011741368929927276
130363,3,1NN_mechanism,0.8612727376665832,0.8783117725575266,28,0.20792034036193985
130363,3,3NN_mechanism,0.8547092945822161,0.8795483155208493,28,0.17692401926090306
130363,3,5NN_mechanism,0.8400997394670462,0.8683121454476036,28,0.144564390789363
130363,3,KERNEL_mechanism,0.923888587136742,0.950561447157082,28,-0.0061429071979774985
130363,3,1NN_donors,0.7042170307194066,0.7270894985546932,28,0.4212810923710575
130363,3,3NN_donors,0.8967137803018543,0.9187672418851855,28,0.10547986727121272
130363,3,5NN_donors,0.9042273136023667,0.9286480513625907,28,0.06443897194533132
130363,3,KERNEL_donors,0.7955921477950311,0.8177257765603781,28,0.3094953008524932
130363,3,RIDGE_mech,0.9103677824316433,0.9353409954442293,28,0.022177054490458037
130363,3,ET_mech,0.8595640468751238,0.8844067639155769,28,0.15674710891706645
130363,3,RIDGE_donors,0.9116557155068793,0.9370227054329736,28,0.019692422932585885
130363,3,ET_donors,0.8676386863014747,0.8889709553612959,28,0.19029596882011712
130363,4,NULL_global_mean,1.5797400070765655,1.5376541393795078,22,0.0
130363,4,1NN_tanimoto,1.4077358199601002,1.3833015672714404,22,0.1643560918557101
130363,4,3NN_tanimoto,1.5299616179592441,1.494753061828178,22,0.06852168621288635
130363,4,5NN_tanimoto,1.527833013266222,1.49296946689857,22,0.055640595731151876
130363,4,KERNEL_tanimoto,1.568045909946995,1.5295760669998364,22,0.015543414402541256
130363,4,1NN_mechanism,1.4913172183931842,1.47540823948115,22,0.08444026376822666
130363,4,3NN_mechanism,1.4321992222061288,1.4226533355648012,22,0.09241618869883839
130363,4,5NN_mechanism,1.4079755352171706,1.4165693020420311,22,0.13858045576854128
130363,4,KERNEL_mechanism,1.5646059672756216,1.5236850403026674,22,0.013861192539453393
130363,4,1NN_donors,1.608671781577761,1.5787708094741784,22,-0.0358137674084944
