build_id,geometry_key,geometry_source,xyz_path,n_atoms,xtb_properties_available,xtb_provenance,complex_pi_eligible
4bed52a4e22b,62|CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C|water,final_dataset_3d/accepted_geometries.csv,geometries/Sm_4bed52a4e22b.xyz,340,True,extxyz_xtb_properties_present,True
4c69294529b9,62|CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC|water,final_dataset_3d/accepted_geometries.csv,geometries/Sm_4c69294529b9.xyz,340,True,extxyz_xtb_properties_present,True
4c7560f50545,62|CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_4c7560f50545.xyz,284,True,extxyz_xtb_properties_present,True
583ace8b123c,62|CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_583ace8b123c.xyz,340,True,extxyz_xtb_properties_present,True
61cc2c48be65,62|CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_61cc2c48be65.xyz,340,True,extxyz_xtb_properties_present,True
63832a3a0ccc,62|CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_63832a3a0ccc.xyz,160,True,extxyz_xtb_properties_present,True
63f877d64bd9,62|CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_63f877d64bd9.xyz,430,True,extxyz_xtb_properties_present,True
67942a553292,62|CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_67942a553292.xyz,344,True,extxyz_xtb_properties_present,True
68ff2a8a7c68,62|CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_68ff2a8a7c68.xyz,484,True,extxyz_xtb_properties_present,True
7cbb3cdacf2b,62|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_6ddb7853aa70.xyz,119,True,extxyz_xtb_properties_present,True
73947a2946b0,62|CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_73947a2946b0.xyz,272,True,extxyz_xtb_properties_present,True
73eeb14fc6d0,62|CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC|water,final_dataset_3d/accepted_geometries.csv,geometries/Sm_73eeb14fc6d0.xyz,214,True,extxyz_xtb_properties_present,True
7fb42c46d354,62|CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_7fb42c46d354.xyz,358,True,extxyz_xtb_properties_present,True
849d9b5c14f1,62|CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC|water,final_dataset_3d/accepted_geometries.csv,geometries/Sm_849d9b5c14f1.xyz,340,True,extxyz_xtb_properties_present,True
885c79596cdc,62|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C|water,final_dataset_3d/accepted_geometries.csv,geometries/Sm_885c79596cdc.xyz,214,True,extxyz_xtb_properties_present,True
895df93270f5,62|CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_895df93270f5.xyz,268,True,extxyz_xtb_properties_present,True
8a40905d102b,62|CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_8a40905d102b.xyz,394,True,extxyz_xtb_properties_present,True
