arm,half,seed,g19_metal_state,n_rows,mae,mse,rmse,mean_error,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,unit_reading
B4x,selection,,Lu(III),247,1.42822,3.12188,1.76688,0.165636,0.433198,2.24149,0.765182,4.29141,0.959514,6.9715,registered: metal state
B4x,selection,,Nd(III),189,0.91633,1.23386,1.11079,-0.32804,0.730159,2.35687,0.962963,4.43747,1,6.783,registered: metal state
B4x,selection,,Np(IV),216,1.01461,1.62867,1.27619,0.728931,0.625,2.08304,0.898148,4.02911,0.976852,6.08033,registered: metal state
B4x,selection,,Pr(III),166,1.33952,4.91065,2.216,0.806064,0.481928,1.9473,0.843373,3.91285,0.975904,6.35917,registered: metal state
B4x,selection,,Pu(IV),580,0.941784,1.55009,1.24502,-0.265687,0.663793,2.08304,0.893103,4.10678,0.968966,6.08033,registered: metal state
B4x,selection,,Tb(III),269,1.21352,2.26737,1.50578,-0.132286,0.501859,1.93872,0.773234,3.9,0.98513,6.50843,registered: metal state
B4x,selection,,Th(IV),773,1.09038,1.94731,1.39546,0.223104,0.557568,1.93872,0.827943,3.91285,0.976714,6.35917,registered: metal state
B4x,selection,,U(VI),1036,0.985221,1.73537,1.31733,0.266595,0.604247,1.94189,0.877413,3.93678,0.966216,6.36023,registered: metal state
B4x,confirmation,,Am(III),1728,1.54997,3.4996,1.87072,0.311548,0.509838,2.81627,0.773148,4.67607,0.927083,6.44291,registered: metal state
B4x,confirmation,,Dy(III),377,1.30485,2.6064,1.61444,-0.110943,0.572944,2.83892,0.870027,4.69357,0.960212,6.40614,registered: metal state
B4x,confirmation,,Er(III),300,1.35614,2.75482,1.65977,-0.171752,0.533333,2.82733,0.86,4.71968,0.963333,6.44437,registered: metal state
B4x,confirmation,,Eu(III),1687,1.48494,3.39182,1.84169,-0.306134,0.554831,2.86281,0.7623,4.72475,0.91227,6.40614,registered: metal state
B4x,confirmation,,La(III),344,1.26434,2.63249,1.62249,0.74056,0.578488,2.40137,0.840116,4.37512,0.94186,6.60729,registered: metal state
B4x,confirmation,,Np(V),187,1.58405,3.37496,1.83711,1.50765,0.336898,2.08304,0.679144,4.02911,0.930481,6.08033,registered: metal state
B4x,confirmation,,Pu(III),118,1.49516,3.07704,1.75415,0.662172,0.364407,2.08304,0.652542,4.10678,0.957627,6.08033,registered: metal state
B4x,confirmation,,Pu(VI),107,0.881179,1.42152,1.19227,0.435405,0.663551,2.08304,0.88785,4.10678,0.962617,6.08033,registered: metal state
B4x,confirmation,,Sm(III),323,1.27195,2.50207,1.58179,-0.0697283,0.455108,1.94189,0.755418,3.92611,0.959752,6.35917,registered: metal state
B4x,confirmation,,Tm(III),201,1.37365,2.9773,1.72548,-0.0129784,0.38806,1.93872,0.741294,3.93485,0.935323,6.35917,registered: metal state
B4x,confirmation,,Yb(III),231,1.38227,2.80248,1.67406,-0.0353814,0.372294,1.93872,0.722944,3.93536,0.965368,6.35917,registered: metal state
B4l,selection,,Ce(III),293,1.10924,1.82012,1.34912,0.420649,0.665529,2.67785,0.904437,4.36558,0.982935,6.04678,registered: metal state
B4l,selection,,Cm(III),135,1.34559,2.64326,1.62581,0.143247,0.548148,2.65899,0.792593,4.37719,0.933333,6.06573,registered: metal state
B4l,selection,,Gd(III),375,1.08325,1.7367,1.31784,-0.306195,0.64,2.64818,0.92,4.39665,0.989333,6.06573,registered: metal state
B4l,selection,,Ho(III),264,1.25656,2.19576,1.48181,-0.615413,0.503788,2.44142,0.814394,4.00225,0.977273,5.80254,registered: metal state
B4l,selection,,Lu(III),247,1.25034,2.20929,1.48637,-0.531713,0.497976,2.30188,0.834008,3.98966,0.97166,5.82431,registered: metal state
B4l,selection,,Nd(III),189,0.927929,1.26281,1.12375,-0.440884,0.730159,2.30801,0.925926,4.03941,0.989418,5.87232,registered: metal state
B4l,selection,,Np(IV),216,0.781784,1.16717,1.08035,0.40443,0.694444,1.95722,0.875,3.44841,0.958333,4.89427,registered: metal state
B4l,selection,,Pr(III),166,1.36336,4.93852,2.22228,0.790645,0.427711,1.82546,0.759036,3.46067,0.915663,5.0103,registered: metal state
B4l,selection,,Pu(IV),580,1.00115,1.56798,1.25219,-0.15597,0.57069,1.94634,0.843103,3.51951,0.956897,4.98511,registered: metal state
B4l,selection,,Tb(III),269,1.13738,1.89202,1.37551,-0.331528,0.446097,1.799,0.788104,3.42931,0.94052,4.99036,registered: metal state
B4l,selection,,Th(IV),773,0.944581,1.37629,1.17315,0.21529,0.538163,1.82507,0.874515,3.47022,0.962484,5.02077,registered: metal state
B4l,selection,,U(VI),1036,1.09574,1.66761,1.29136,-0.411359,0.40444,1.83301,0.842664,3.44592,0.968147,5.0103,registered: metal state
B4l,confirmation,,Am(III),1728,1.44337,3.06536,1.75082,0.16931,0.509259,2.6302,0.755787,4.35038,0.923032,6.02039,registered: metal state
B4l,confirmation,,Dy(III),377,1.13186,1.83216,1.35357,-0.569707,0.618037,2.66587,0.904509,4.38192,0.984085,6.06573,registered: metal state
B4l,confirmation,,Er(III),300,1.23035,2.12468,1.45763,-0.661916,0.57,2.66487,0.866667,4.38075,0.98,6.06573,registered: metal state
B4l,confirmation,,Eu(III),1687,1.32207,2.53417,1.59191,-0.275354,0.583284,2.7373,0.848251,4.54472,0.959692,6.11159,registered: metal state
B4l,confirmation,,La(III),344,1.19092,2.09902,1.4488,0.610848,0.581395,2.4141,0.828488,4.04869,0.962209,5.91294,registered: metal state
B4l,confirmation,,Np(V),187,1.85498,4.23909,2.05891,1.84578,0.160428,1.95722,0.481283,3.44841,0.727273,4.89427,registered: metal state
B4l,confirmation,,Pu(III),118,1.52628,2.90988,1.70584,1.27789,0.262712,1.94634,0.635593,3.51951,0.872881,4.98511,registered: metal state
B4l,confirmation,,Pu(VI),107,0.742167,0.805514,0.897504,0.102321,0.654206,1.94634,0.971963,3.51951,0.990654,4.98511,registered: metal state
B4l,confirmation,,Sm(III),323,1.01211,1.60709,1.26771,-0.215132,0.52322,1.81438,0.817337,3.42457,0.956656,5.0103,registered: metal state
B4l,confirmation,,Tm(III),201,1.29599,2.32524,1.52488,-0.537935,0.338308,1.8104,0.721393,3.42494,0.910448,4.98115,registered: metal state
B4l,confirmation,,Yb(III),231,1.27278,2.26117,1.50372,-0.545433,0.354978,1.80422,0.727273,3.42614,0.922078,4.98457,registered: metal state
B7,selection,,Ce(III),293,0.559314,0.561656,0.749437,-0.236138,0.460751,0.745736,0.887372,2.47373,0.972696,3.88977,registered: metal state
B7,selection,,Cm(III),135,0.913736,1.48314,1.21784,0.213858,0.296296,0.745736,0.718519,2.47757,0.896296,3.88977,registered: metal state
B7,selection,,Gd(III),375,0.555739,0.629715,0.793546,0.219144,0.517333,0.755669,0.872,2.47373,0.957333,3.88977,registered: metal state
B7,selection,,Ho(III),264,0.507096,0.565971,0.75231,-0.0515068,0.628788,0.816859,0.852273,2.33639,0.977273,3.99127,registered: metal state
B7,selection,,Lu(III),247,0.551913,0.649184,0.805719,-0.000736309,0.57085,0.850495,0.809717,2.18734,0.97166,3.99749,registered: metal state
B7,selection,,Nd(III),189,0.600419,0.802304,0.895714,-0.281218,0.619048,0.87487,0.793651,2.29581,1,4.07522,registered: metal state
B7,selection,,Np(IV),216,0.67425,0.682114,0.825902,0.516151,0.212963,0.627765,0.810185,1.92778,0.962963,3.73997,registered: metal state
B7,selection,,Pr(III),166,1.00036,4.26775,2.06585,0.867084,0.487952,0.858636,0.644578,1.91127,0.837349,3.66981,registered: metal state
B7,selection,,Pu(IV),580,1.0841,1.85148,1.36069,-0.65469,0.156897,0.630832,0.52069,1.92872,0.844828,3.73997,registered: metal state
B7,selection,,Tb(III),269,0.605706,0.685289,0.827822,-0.207303,0.490706,0.804291,0.791822,1.91678,0.962825,3.67393,registered: metal state
B7,selection,,Th(IV),773,1.28206,2.26254,1.50417,-0.592785,0.196636,0.852549,0.372574,1.91698,0.765847,3.70492,registered: metal state
B7,selection,,U(VI),1036,0.839143,1.39042,1.17916,0.207585,0.395753,0.819922,0.666023,1.90849,0.870656,3.5892,registered: metal state
B7,confirmation,,Am(III),1728,1.16039,3.27891,1.81078,0.176447,0.262731,0.746548,0.655093,2.39246,0.838542,4.0053,registered: metal state
B7,confirmation,,Dy(III),377,0.489639,0.502981,0.709212,0.0599116,0.570292,0.766075,0.888594,2.47373,0.976127,3.88977,registered: metal state
B7,confirmation,,Er(III),300,0.508476,0.548263,0.740448,0.0482346,0.59,0.848557,0.883333,2.49691,0.976667,3.82129,registered: metal state
B7,confirmation,,Eu(III),1687,1.18856,2.67358,1.63511,-0.515592,0.283343,0.754029,0.63604,2.47373,0.794309,3.92478,registered: metal state
B7,confirmation,,La(III),344,0.59863,0.746248,0.863857,0.249597,0.526163,0.819856,0.840116,2.31924,0.962209,4.01451,registered: metal state
B7,confirmation,,Np(V),187,0.938195,1.42302,1.19291,0.839829,0.251337,0.627765,0.561497,1.92778,0.882353,3.73997,registered: metal state
B7,confirmation,,Pu(III),118,1.21429,2.08478,1.44388,0.0802722,0.152542,0.630832,0.398305,1.92872,0.813559,3.73997,registered: metal state
B7,confirmation,,Pu(VI),107,0.676443,0.639651,0.799782,0.329112,0.261682,0.630832,0.841121,1.92872,1,3.73997,registered: metal state
B7,confirmation,,Sm(III),323,0.731897,1.35433,1.16376,0.116169,0.547988,0.862827,0.76161,1.90351,0.904025,3.66981,registered: metal state
B7,confirmation,,Tm(III),201,0.571327,0.694126,0.833142,-0.0127921,0.557214,0.861442,0.761194,1.88996,0.960199,3.66981,registered: metal state
B7,confirmation,,Yb(III),231,0.528244,0.607144,0.779194,-0.0226037,0.601732,0.854949,0.800866,1.88996,0.961039,3.66981,registered: metal state
