arm,half,seed,v1_outer_fold_unit,n_rows,mae,mse,rmse,mean_error,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,unit_reading,unit
B0,confirmation,,pub_457a2adba4,28,1.24112,1.87255,1.36841,-1.15297,0.357143,2.1599,1,4.23709,1,6.13127,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_4f42448406,81,0.781119,1.03568,1.01768,0.546778,0.728395,2.1742,0.962963,4.26853,1,6.10487,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_515c63b970,90,0.474799,0.283991,0.532908,-0.246713,0.911111,2.18825,1,4.24982,1,6.15975,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_51c0693f9c,116,0.850406,1.27784,1.13041,0.0241871,0.741379,2.2104,0.922414,4.38072,1,6.38895,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_51ddfefa0c,96,1.36299,6.27442,2.50488,1.01762,0.552083,2.18213,0.947917,4.3603,0.96875,6.23823,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_56338b6e47,192,1.41007,3.0603,1.74937,0.993473,0.442708,2.15245,0.697917,4.26266,0.916667,6.20233,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_58ab6ca575,55,0.680771,0.667499,0.817006,-0.504907,0.745455,2.17691,1,4.28224,1,6.11491,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_5a68dc5665,874,1.17295,1.94534,1.39476,0.486131,0.512586,2.20009,0.885584,4.38354,1,6.34041,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_63013e43b6,48,1.14082,2.03598,1.42688,0.864982,0.583333,2.18694,0.833333,4.29963,0.958333,6.13822,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_691fc07992,75,1.51627,3.48123,1.86581,-1.2783,0.48,2.16985,0.693333,4.27248,0.866667,6.11116,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_6a0ef8528c,164,3.07906,10.5032,3.24086,3.07906,0.0243902,2.12485,0.195122,4.22731,0.457317,5.90756,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_86cd2c5ec0,36,1.48702,3.0264,1.73966,0.31362,0.361111,2.16944,0.75,4.25223,0.972222,6.19953,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_9a95bb9836,110,1.04933,1.63287,1.27784,0.41872,0.581818,2.18948,0.918182,4.31289,0.972727,6.15146,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_a49146c8fd,51,1.82824,3.99661,1.99915,1.45809,0.176471,2.16954,0.745098,4.30486,0.901961,6.14119,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
B0,confirmation,,pub_a671b3a07d,140,0.909114,1.38899,1.17855,0.477079,0.7,2.18358,0.907143,4.27022,0.978571,6.13701,"registered: outer fold: each single-group fold one unit, the pooled remainder fold one unit (section 3.2 resolution)",
