arm,half,seed,g19_metal_state,extractant_system_key,n_rows,mae,mse,rmse,mean_error,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,unit_reading
B2,confirmation,,Tm(III),CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,12,1.54581,2.98523,1.72778,-1.1301,0.25,2.03373,0.333333,3.29986,1,4.85366,registered: hidden cell
B2,confirmation,,Tm(III),CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,14,0.841701,0.884102,0.940267,0.506234,0.642857,2.03812,1,3.32552,1,4.85366,registered: hidden cell
B2,confirmation,,U(VI),CCCCC(CC)C(=O)N(CCCC)CCCC,17,1.72452,3.10161,1.76114,-1.72452,0.0588235,1.99351,0.411765,3.38728,1,4.78816,registered: hidden cell
B2,confirmation,,U(VI),CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,178,1.23893,1.80874,1.34489,-1.08261,0.247191,1.97337,0.764045,3.23444,0.994382,4.62015,registered: hidden cell
B2,confirmation,,U(VI),CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,87,0.765804,0.914169,0.956122,-0.284779,0.655172,2.03172,0.931034,3.26706,0.988506,4.63796,registered: hidden cell
B2,confirmation,,U(VI),CCCCCCCCCC(=O)N(CCCCCC)CCCCCC,26,1.11998,1.37841,1.17406,-1.11998,0.307692,2.03365,1,3.2993,1,4.68106,registered: hidden cell
B2,confirmation,,U(VI),CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,24,1.68757,3.77094,1.94189,1.67893,0.291667,2.0124,0.5,3.23612,0.75,4.55932,registered: hidden cell
B2,confirmation,,U(VI),CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,21,0.896462,1.34745,1.1608,0.669427,0.666667,2.01801,0.809524,3.23471,0.952381,4.59452,registered: hidden cell
B2,confirmation,,U(VI),CCCCCCN(CCCCCC)C(=O)C(CC)CCCC,27,1.64857,3.17975,1.78319,-1.60653,0.222222,2.13568,0.407407,3.49113,1,4.86372,registered: hidden cell
B2,confirmation,,U(VI),CCCCCCN(CCCCCC)C(=O)CCCCC,39,0.816937,0.86294,0.928946,-0.660937,0.717949,1.99689,0.948718,3.31516,1,4.85999,registered: hidden cell
B2,confirmation,,U(VI),CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,19,0.9644,1.33306,1.15458,0.824782,0.473684,2.01537,0.842105,3.23399,0.947368,4.56902,registered: hidden cell
B2,confirmation,,U(VI),CCCCCN(CCCCC)C(=O)COCC(=O)N(CCCCC)CCCCC,20,0.808875,1.0079,1.00394,0.507914,0.65,2.02685,0.9,3.23911,1,4.59452,registered: hidden cell
B2,confirmation,,U(VI),CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,19,1.09096,1.73608,1.3176,0.996181,0.473684,2.02053,0.789474,3.23471,0.947368,4.60663,registered: hidden cell
B2,confirmation,,Yb(III),CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,12,1.52444,2.78321,1.6683,-1.02527,0.25,2.0342,0.333333,3.32969,1,4.88165,registered: hidden cell
B2,confirmation,,Yb(III),CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,14,0.869591,0.915985,0.957071,0.530529,0.642857,2.0342,1,3.32969,1,4.88165,registered: hidden cell
B3,selection,,Am(III),CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,65,1.20361,2.18674,1.47876,0.311037,0.215385,0.98509,0.630769,3.06473,0.969231,6.28788,registered: hidden cell
B3,selection,,Am(III),CCCCCCCC(=O)N(CCCCCC)CCCCCC,27,0.829547,1.24924,1.11769,0.229359,0.518519,0.955556,0.851852,3.19338,1,6.26256,registered: hidden cell
B3,selection,,Am(III),CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,31,1.77292,3.72147,1.92911,-0.659961,0.0322581,0.974995,0.354839,3.05082,0.935484,6.06559,registered: hidden cell
B3,selection,,Am(III),CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,14,0.737641,0.772931,0.879165,-0.652313,0.357143,1.10469,1,3.40135,1,6.28961,registered: hidden cell
B3,selection,,Am(III),CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,11,0.63041,0.541172,0.735644,-0.63041,0.545455,1.27564,1,3.6754,1,6.36596,registered: hidden cell
B3,selection,,Am(III),CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,18,1.89521,5.23891,2.28887,1.47309,0.166667,1.09906,0.555556,3.34877,0.777778,6.26256,registered: hidden cell
B3,selection,,Am(III),CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,22,1.64446,3.95722,1.98928,-1.64446,0.272727,1.10187,0.5,3.34854,0.954545,6.29429,registered: hidden cell
B3,selection,,Am(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,515,1.4492,3.10085,1.76092,0.387197,0.182524,1.03069,0.636893,3.26209,0.924272,6.26256,registered: hidden cell
B3,selection,,Am(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,50,0.741052,0.81814,0.904511,0.619746,0.36,1.06639,0.94,3.12645,1,5.54732,registered: hidden cell
B3,selection,,Am(III),CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,12,0.640939,1.04906,1.02424,-0.640939,0.583333,1.27564,0.833333,3.6754,1,6.38548,registered: hidden cell
B3,selection,,Am(III),CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,14,0.89599,1.3709,1.17086,0.648334,0.285714,0.999422,0.785714,3.12877,1,6.26256,registered: hidden cell
B3,selection,,Ba(II),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,22,2.20214,5.45465,2.33552,2.20214,0,1.0982,0.409091,3.41337,0.818182,6.3151,registered: hidden cell
B3,selection,,Ce(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,21,0.215714,0.0631671,0.251331,-0.213995,0.952381,1.0232,1,3.30013,1,6.28961,registered: hidden cell
B3,selection,,Ce(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,99,0.645008,0.807499,0.89861,-0.245655,0.59596,1.25803,0.939394,3.57558,1,6.34649,registered: hidden cell
B3,selection,,Ce(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,15,0.487666,0.505052,0.71067,-0.445378,0.733333,1.16475,0.933333,3.23073,1,5.54732,registered: hidden cell
B3,selection,,Ce(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.20527,3.09306,1.75871,-1.16508,0.5,1.07802,0.7,3.11158,0.8,5.51145,registered: hidden cell
B3,selection,,Cm(III),CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,10,1.52009,3.24113,1.80031,1.52009,0.2,1.12373,0.6,3.50256,1,6.34649,registered: hidden cell
B3,selection,,Cm(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,77,0.522787,0.654299,0.808887,-0.159425,0.779221,1.26529,0.935065,3.65838,1,6.38157,registered: hidden cell
B3,selection,,Dy(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,60,0.378408,0.251869,0.501865,0.110133,0.766667,1.12504,1,3.50256,1,6.34649,registered: hidden cell
B3,selection,,Dy(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,22,0.490743,0.752502,0.867469,0.327605,0.681818,0.995106,0.954545,3.26802,0.954545,6.26256,registered: hidden cell
B3,selection,,Dy(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,85,0.57765,1.12856,1.06234,-0.106886,0.776471,0.968726,0.870588,2.99749,0.976471,6.26256,registered: hidden cell
B3,selection,,Dy(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,16,0.341566,0.326413,0.571325,0.0774782,0.9375,1.16101,0.9375,3.22085,1,5.51145,registered: hidden cell
B3,selection,,Dy(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.04894,2.80978,1.67624,-0.862994,0.6,1.07107,0.7,3.09288,0.8,5.50982,registered: hidden cell
B3,selection,,Er(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,15,0.378705,0.257663,0.507605,0.0121736,0.866667,1.10187,1,3.48298,1,6.34649,registered: hidden cell
B3,selection,,Er(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,20,0.3221,0.730559,0.854727,0.209797,0.9,0.995106,0.95,3.26154,0.95,6.26256,registered: hidden cell
B3,selection,,Er(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,77,0.246319,0.274668,0.524088,0.103095,0.883117,1.01818,0.961039,3.1538,1,6.34649,registered: hidden cell
B3,selection,,Er(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,16,0.288777,0.365899,0.604896,-0.288777,0.9375,1.17211,0.9375,3.22576,1,5.54732,registered: hidden cell
B3,selection,,Er(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.05472,3.10269,1.76144,-0.986982,0.6,1.06172,0.7,3.08984,0.8,5.50982,registered: hidden cell
B3,selection,,Eu(III),CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,14,0.466366,0.30995,0.556731,-0.128417,0.785714,1.07802,1,3.35282,1,6.26256,registered: hidden cell
B3,selection,,Eu(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,22,0.33026,0.145605,0.381583,-0.00208372,0.909091,0.982992,1,3.22801,1,6.26256,registered: hidden cell
B3,selection,,Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,20,1.60742,3.74556,1.93535,0.851217,0.2,1.0898,0.65,3.48684,0.9,6.34649,registered: hidden cell
B3,selection,,Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,13,0.800262,1.31734,1.14776,-0.588705,0.615385,1.28761,0.846154,3.45587,1,5.7605,registered: hidden cell
B3,selection,,Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,408,1.31501,2.98582,1.72795,-0.329025,0.377451,1.07802,0.651961,3.35282,0.914216,6.26256,registered: hidden cell
B3,selection,,Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,16,0.694679,0.891809,0.944356,-0.691162,0.5,1.07006,0.9375,3.15058,1,5.54732,registered: hidden cell
B3,selection,,Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,13,0.39618,0.485621,0.696865,-0.144791,0.769231,1.24779,0.923077,3.6501,1,6.35796,registered: hidden cell
B3,selection,,Eu(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,157,2.5538,7.95207,2.81994,-2.5538,0.165605,1.16515,0.197452,3.2465,0.420382,5.64331,registered: hidden cell
B3,selection,,Eu(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.00561,2.89511,1.7015,-0.956566,0.6,1.06036,0.7,3.09389,0.8,5.50982,registered: hidden cell
B3,selection,,Gd(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,15,0.335157,0.219725,0.468748,-0.0328907,0.866667,1.12086,1,3.5191,1,6.34649,registered: hidden cell
B3,selection,,Gd(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,22,0.371567,0.550474,0.741939,0.371567,0.909091,0.938055,0.954545,3.19565,0.954545,6.13353,registered: hidden cell
B3,selection,,Gd(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,120,0.572764,0.813371,0.901871,0.545435,0.641667,0.942499,0.916667,2.87507,0.983333,6.21102,registered: hidden cell
B3,selection,,Gd(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,16,0.577401,0.470635,0.686029,0.330865,0.875,1.18747,0.9375,3.25021,1,5.54732,registered: hidden cell
B3,selection,,Gd(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.07282,2.72912,1.652,-0.805644,0.6,1.06036,0.7,3.09389,0.8,5.50982,registered: hidden cell
B3,selection,,Ho(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,21,0.279482,0.119292,0.345387,0.0333558,0.809524,0.937301,1,3.19854,1,6.21282,registered: hidden cell
B3,selection,,Ho(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,82,0.59729,1.15632,1.07532,-0.258524,0.743902,0.967368,0.865854,3.01028,0.963415,6.26256,registered: hidden cell
B3,selection,,Ho(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,16,0.273916,0.299684,0.547434,0.0102889,0.9375,1.18898,0.9375,3.25021,1,5.54732,registered: hidden cell
B3,selection,,Ho(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.04166,2.81676,1.67832,-0.866209,0.6,1.06036,0.7,3.09389,0.8,5.50982,registered: hidden cell
B3,selection,,La(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,22,0.371224,0.289243,0.537813,0.371224,0.772727,0.945844,0.954545,3.20975,1,6.24971,registered: hidden cell
B3,selection,,La(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,88,1.31701,3.19297,1.78689,1.27923,0.409091,0.947675,0.568182,2.86328,0.897727,6.11795,registered: hidden cell
B3,selection,,La(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,16,0.417849,0.292051,0.540418,0.233217,0.75,1.17589,1,3.23214,1,5.54732,registered: hidden cell
B3,selection,,La(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.14018,3.16239,1.77831,-1.03492,0.5,1.0644,0.7,3.11681,0.8,5.50982,registered: hidden cell
B3,selection,,Lu(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,22,0.300691,0.649039,0.805629,0.0310504,0.818182,0.943539,0.954545,3.20975,0.954545,6.21282,registered: hidden cell
B3,selection,,Lu(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,90,0.292657,0.33252,0.576645,0.0603393,0.833333,1.02308,0.955556,3.17583,1,6.35596,registered: hidden cell
B3,selection,,Lu(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,16,0.165655,0.292694,0.541012,-0.114152,0.9375,1.17589,0.9375,3.23214,1,5.54732,registered: hidden cell
B3,selection,,Lu(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.06865,3.16111,1.77795,-1.06865,0.6,1.07609,0.7,3.12877,0.8,5.51145,registered: hidden cell
B3,selection,,Nd(III),CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,12,0.143292,0.0423882,0.205884,0.0303488,1,1.29163,1,3.46442,1,5.76561,registered: hidden cell
B3,selection,,Nd(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,14,0.570753,0.4556,0.674982,0.458559,0.5,1.11976,1,3.53571,1,6.34649,registered: hidden cell
B3,selection,,Np(IV),CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,22,0.554053,0.540789,0.735384,0.45408,0.545455,1.0213,0.954545,3.00364,1,5.47284,registered: hidden cell
B3,selection,,Np(IV),CCCCCCCC(=O)N(CCCCCC)CCCCCC,38,0.984213,1.42225,1.19258,0.930119,0.236842,0.92299,0.868421,3.5083,1,6.28961,registered: hidden cell
B3,selection,,Np(IV),CCCCN(CCCC)C(=O)CCC,11,1.12256,1.92886,1.38883,0.335617,0.181818,1.10334,0.727273,3.5191,1,6.34649,registered: hidden cell
B3,selection,,Np(V),CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,21,0.97654,1.28376,1.13303,0.601146,0.190476,1.00248,0.904762,3.165,1,6.38157,registered: hidden cell
B3,selection,,Np(V),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,19,1.13387,1.82949,1.35259,0.864976,0.210526,1.01128,0.631579,3.1538,1,6.38157,registered: hidden cell
B3,selection,,Np(V),CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,10,0.478978,0.388337,0.623167,0.475553,0.4,1.01921,1,3.15431,1,6.35596,registered: hidden cell
B3,selection,,Np(VI),CCCCCCCC(=O)N(CCCCCC)CCCCCC,15,0.314957,0.128511,0.358484,-0.11261,0.933333,1.14403,1,3.22085,1,5.62942,registered: hidden cell
B3,selection,,Pu(III),CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,20,1.50856,2.42803,1.55822,1.50856,0,0.892003,0.55,3.165,1,6.28788,registered: hidden cell
B3,selection,,Pu(III),CCCCCCCC(=O)N(CCCCCC)CCCCCC,27,1.36984,2.68774,1.63943,0.588833,0.222222,0.895636,0.592593,3.165,1,6.28961,registered: hidden cell
B3,selection,,Pu(IV),CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,10,0.883717,1.05794,1.02856,-0.883717,0.1,1.01397,0.9,2.99809,1,5.46076,registered: hidden cell
B3,selection,,Pu(IV),CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,13,0.81171,1.35371,1.16349,0.806721,0.307692,0.900938,0.846154,3.20598,0.923077,6.28788,registered: hidden cell
B3,selection,,Pu(IV),CCCCCCCC(=O)N(CCCCCC)CCCCCC,90,0.821288,0.969089,0.984423,-0.592979,0.355556,1.14192,0.933333,3.31388,1,5.58478,registered: hidden cell
B3,selection,,Pu(IV),CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,14,1.11872,1.32688,1.1519,-1.11872,0.0714286,1.23221,1,3.6881,1,6.43342,registered: hidden cell
B3,selection,,Pu(IV),CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,14,0.938383,0.943297,0.971235,-0.114769,0.142857,1.12504,1,3.5191,1,6.34649,registered: hidden cell
B3,selection,,Pu(IV),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,22,1.52112,3.16952,1.78032,-1.44575,0.227273,1.1181,0.454545,2.86205,0.681818,4.93149,registered: hidden cell
B3,selection,,Pu(VI),CCCCCCCC(=O)N(CCCCCC)CCCCCC,16,0.333123,0.139768,0.373856,0.0346456,0.9375,1.14889,1,3.22085,1,5.63102,registered: hidden cell
B3,selection,,Pu(VI),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,11,1.77113,4.03449,2.0086,-1.77113,0.181818,1.16656,0.363636,3.13738,0.818182,5.5896,registered: hidden cell
B3,selection,,Sm(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,15,0.447613,0.29911,0.54691,0.0440701,0.8,1.12086,1,3.52876,1,6.34649,registered: hidden cell
B3,selection,,Sm(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,22,1.2051,1.97135,1.40405,0.981152,0.227273,0.939816,0.818182,3.26154,1,6.26256,registered: hidden cell
B3,selection,,Sm(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,70,1.1012,2.20989,1.48657,-0.5548,0.485714,0.875045,0.714286,3.14524,0.957143,6.26256,registered: hidden cell
B3,selection,,Sm(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,16,0.352887,0.446723,0.668374,0.0645298,0.875,1.1557,0.9375,3.22371,1,5.54394,registered: hidden cell
B3,selection,,Sm(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.05465,3.1139,1.76463,-1.04343,0.6,1.08812,0.7,3.17516,0.8,5.55727,registered: hidden cell
B3,selection,,Sr(II),CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,17,1.00764,1.37091,1.17086,0.0562401,0.235294,1.12518,0.941176,3.55014,1,6.36596,registered: hidden cell
B3,selection,,Sr(II),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,60,0.823471,1.46232,1.20926,0.627042,0.616667,1.12518,0.766667,3.55014,1,6.36596,registered: hidden cell
B3,selection,,Tb(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,21,0.266936,0.0830656,0.288211,-0.266936,0.952381,0.939816,1,3.25881,1,6.26256,registered: hidden cell
B3,selection,,Tb(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,87,0.473251,0.577066,0.759648,-0.145686,0.701149,0.983254,0.965517,3.14648,0.977011,6.34649,registered: hidden cell
B3,selection,,Tb(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,16,0.628372,0.713258,0.844546,-0.628372,0.875,1.1685,0.9375,3.22085,0.9375,5.54732,registered: hidden cell
B3,selection,,Tb(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.19436,3.38045,1.8386,-1.19436,0.6,1.08812,0.7,3.17516,0.8,5.55727,registered: hidden cell
B3,selection,,Th(IV),CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,20,0.285036,0.180888,0.425309,-0.0703925,0.9,1.02308,1,2.99749,1,5.43133,registered: hidden cell
B3,selection,,Th(IV),CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,32,1.03442,1.67673,1.29489,0.706398,0.3125,1.03092,0.75,3.24577,1,6.38157,registered: hidden cell
B3,selection,,Th(IV),CCCCCCCC(=O)N(CCCCCC)CCCCCC,21,1.54641,3.21913,1.79419,1.48659,0.142857,1.12222,0.619048,3.165,0.904762,5.62743,registered: hidden cell
B3,selection,,Th(IV),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,46,1.02532,1.39769,1.18224,-0.44013,0.217391,1.02764,0.891304,3.29753,1,6.43342,registered: hidden cell
B3,selection,,Th(IV),CCCCN(CCCC)C(=O)CCC,11,1.59813,2.72766,1.65156,1.59813,0,1.12543,0.636364,3.5704,1,6.34649,registered: hidden cell
B3,selection,,Th(IV),CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,15,0.840889,1.19272,1.09212,0.631127,0.466667,1.01699,0.866667,3.26209,1,6.38584,registered: hidden cell
B3,selection,,Tm(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,19,0.0956911,0.0253519,0.159223,-0.0265244,0.947368,0.91759,1,3.22801,1,6.28961,registered: hidden cell
B3,selection,,Tm(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,76,0.231916,0.240643,0.490554,0.0507779,0.868421,1.01921,0.973684,3.26209,1,6.38584,registered: hidden cell
B3,selection,,Tm(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,10,1.01624,2.99443,1.73044,-0.976911,0.6,1.09449,0.7,3.165,0.8,5.57066,registered: hidden cell
B3,selection,,U(VI),CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,44,0.685382,0.883339,0.939861,0.135089,0.477273,0.8911,0.886364,3.15597,1,6.26256,registered: hidden cell
B3,selection,,U(VI),CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,27,1.3142,2.23266,1.49421,1.3142,0.0740741,0.999718,0.703704,3.29752,1,6.38584,registered: hidden cell
B3,selection,,U(VI),CCCCCCCC(=O)N(CCCCCC)CCCCCC,198,0.502823,0.381867,0.617954,0.281038,0.686869,1.27901,1,3.68056,1,6.40604,registered: hidden cell
B3,selection,,U(VI),CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,14,1.15197,1.37866,1.17416,1.15197,0,1.33481,1,3.8351,1,6.46563,registered: hidden cell
B3,selection,,U(VI),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,48,1.06814,1.58334,1.25831,0.796655,0.125,0.912171,0.75,2.68448,0.979167,5.01401,registered: hidden cell
B3,selection,,U(VI),CCCCN(CCCC)C(=O)CCC,13,0.637406,0.673454,0.820643,-0.0654558,0.538462,1.1098,1,3.40532,1,6.28961,registered: hidden cell
