ablation,outer_fold,candidate_index,inner_fold_count,inner_split_seed,max_features,min_samples_leaf,inner_macro_group_mae,inner_n_rows,inner_mae,inner_rmse,inner_r2,inner_pearson,inner_spearman,selected
A2+D1,1,1,3,114736,0.7,2,0.354386244182205,5783,0.46207859964252357,0.6895127160822493,0.1824150783999231,0.5159611495725958,0.5047672785323736,False
A2+D1,1,2,3,114736,1.0,4,0.36430914297842576,5783,0.45896888262777075,0.6820514950066492,0.20001352627521707,0.5259037698071299,0.5215188342255185,False
A2+D2,1,0,3,114736,0.35,2,0.3463863455850415,5783,0.45581068001890446,0.670102978627758,0.22779713192587636,0.5434269604425698,0.5234048438396282,True
A2+D2,1,1,3,114736,0.7,2,0.3552219975114121,5783,0.46138730976730724,0.6875771097944811,0.1869988989516479,0.5196115166089075,0.49454851646318326,False
A2+D2,1,2,3,114736,1.0,4,0.36300413371632817,5783,0.4606725060138845,0.6844272709928735,0.19443066689213628,0.5234880745622738,0.5033813273611782,False
A2+D3,1,0,3,114736,0.35,2,0.3480334798400591,5783,0.4656021274980582,0.6861855985509134,0.19028625509079844,0.5253013768036177,0.4787071710981316,True
A2+D3,1,1,3,114736,0.7,2,0.35172757273310146,5783,0.46535318398023917,0.6955068460319571,0.16813829485824605,0.5141276102312555,0.47964823932467454,False
A2+D3,1,2,3,114736,1.0,4,0.3611945316417045,5783,0.45969876933138454,0.6836769498431293,0.19619595129752743,0.5271194655222099,0.4989874113859537,False
A2+D4,1,0,3,114736,0.35,2,0.3467517786380312,5783,0.4587540806708796,0.6761816351476075,0.21372393386451716,0.5361662800614098,0.5138697084798327,True
A2+D4,1,1,3,114736,0.7,2,0.352737020009908,5783,0.4547305933950256,0.6766599950955011,0.21261104939310216,0.5357143852737857,0.521422242085116,False
A2+D4,1,2,3,114736,1.0,4,0.3620041227069095,5783,0.46045551911707355,0.6865217633659355,0.18949269735053498,0.5216850341972727,0.5059146982268103,False
A2+D5,1,0,3,114736,0.35,2,0.34197334543919916,5783,0.4550550625591601,0.6689795466481256,0.23038416772526604,0.5473232161603955,0.5209344331460486,True
A2+D5,1,1,3,114736,0.7,2,0.35305710716109084,5783,0.46198165082340104,0.6881411223313392,0.18566455877089372,0.5205020623956432,0.5039126628427691,False
A2+D5,1,2,3,114736,1.0,4,0.35580533645612505,5783,0.45656512321135534,0.6791084128260984,0.20690258443871545,0.5310494462229316,0.5178527705561559,False
A5_SHUFFLED_s1009,1,0,3,114736,0.35,2,0.3542581613306342,5783,0.4626677340513015,0.6803315718712549,0.20404307664688026,0.5255915395880443,0.5085716306516929,True
A5_SHUFFLED_s1009,1,1,3,114736,0.7,2,0.3621999790622985,5783,0.4581131586621377,0.680885395706762,0.2027466519059936,0.525521745314545,0.525415149394983,False
A5_SHUFFLED_s1009,1,2,3,114736,1.0,4,0.36822175534028173,5783,0.46131377495173614,0.688017696072246,0.1859566539822779,0.5151707419933784,0.506410654370687,False
A5_SHUFFLED_s2017,1,0,3,114736,0.35,2,0.3575500717964508,5783,0.46151833345844234,0.677372649478816,0.21095162905265863,0.5279746064717287,0.5107167280124095,True
A5_SHUFFLED_s2017,1,1,3,114736,0.7,2,0.3634380360429841,5783,0.4628405262673307,0.683170819042112,0.19738563422479194,0.5222163600466162,0.5005721580181905,False
A5_SHUFFLED_s2017,1,2,3,114736,1.0,4,0.3689279072585679,5783,0.459502468527974,0.6809035456833826,0.20270414747696375,0.5250560620659122,0.5087381639298832,False
A5_SHUFFLED_s3019,1,0,3,114736,0.35,2,0.3586606839059156,5783,0.45714518890421374,0.6699115148585171,0.2282383409774713,0.539479908039048,0.5228155486231033,True
A5_SHUFFLED_s3019,1,1,3,114736,0.7,2,0.36193706422173727,5783,0.4568844057993883,0.6763392512933354,0.21335733341152074,0.5318037831816391,0.5226833095677742,False
A5_SHUFFLED_s3019,1,2,3,114736,1.0,4,0.3713381028737004,5783,0.4624883374539024,0.6837426655802993,0.19604141891408777,0.5199704031265311,0.502783276021421,False
A0,2,0,3,124743,0.35,2,0.6012432391559797,5784,0.6115711228268194,0.9010300248120927,-0.6744446570892142,-0.03020548817955187,-0.015548500288281263,True
A0,2,1,3,124743,0.7,2,0.6012432391559797,5784,0.6115711228268194,0.9010300248120927,-0.6744446570892142,0.03623207540702746,0.014130310469203279,False
A0,2,2,3,124743,1.0,4,0.6012432391559797,5784,0.6115711228268194,0.9010300248120927,-0.6744446570892142,-0.1191637490431585,-0.12243496986627102,False
A1,2,0,3,124743,0.35,2,0.3589109844461149,5784,0.421914508691717,0.5968987700187497,0.26515855964280255,0.575052279460216,0.5274028678070971,False
A1,2,1,3,124743,0.7,2,0.35517019762487706,5784,0.42208939681177793,0.6003243335568613,0.25669994210992153,0.5710790176848956,0.5311126753870431,True
A1,2,2,3,124743,1.0,4,0.35727058819377605,5784,0.422671493435451,0.5996500215709578,0.25836882213231127,0.572854085571249,0.5293926938955469,False
A2,2,0,3,124743,0.35,2,0.3623446259135435,5784,0.4427330643817001,0.6318065903202079,0.1766953369892159,0.522442077165904,0.506605301854658,True
A2,2,1,3,124743,0.7,2,0.3740155827764585,5784,0.4530477695532334,0.6450788337924975,0.141742008277417,0.5092738609985895,0.4946785913666942,False
A2,2,2,3,124743,1.0,4,0.38314021868928455,5784,0.45694855789231686,0.6508474019048491,0.12632356317294513,0.49909878947025016,0.4820467334384314,False
A3,2,0,3,124743,0.35,2,0.37544757601246265,5784,0.4100878339892974,0.5773143822275931,0.312588132380458,0.5914579115529577,0.5583780864279996,False
A3,2,1,3,124743,0.7,2,0.3699362132425214,5784,0.41866304471477045,0.5922791959336423,0.27648885058217343,0.5723593354029805,0.5403913333707729,False
A3,2,2,3,124743,1.0,4,0.36960780381595415,5784,0.4227748409072227,0.5986380481589179,0.2608698734883734,0.5649179855259088,0.5317746970956839,True
A4,2,0,3,124743,0.35,2,0.3690068278875525,5784,0.4332501375661196,0.6169532365682877,0.21495099841161536,0.5394012935548731,0.5316291082267557,True
A4,2,1,3,124743,0.7,2,0.37881151590739615,5784,0.44745396049402086,0.6406199033530633,0.15356594743789143,0.5128142222407567,0.5170108015566933,False
A4,2,2,3,124743,1.0,4,0.3865534610927443,5784,0.4536374835604345,0.6490003891449591,0.13127526708418402,0.4999840557571684,0.5008665300509866,False
A5,2,0,3,124743,0.35,2,0.374284760847052,5784,0.4208468679597615,0.5943637035687861,0.27138714012613496,0.575137900172245,0.5387280984797963,True
A5,2,1,3,124743,0.7,2,0.3836882369596474,5784,0.43650178728620775,0.6168519087848602,0.21520884856334788,0.5486137026109946,0.49994144013763375,False
A5,2,2,3,124743,1.0,4,0.3871255876818417,5784,0.4480161949508134,0.6337867682672204,0.17152652567772053,0.5204819365419495,0.47171887798596407,False
A6,2,0,3,124743,0.35,2,0.3755621496927276,5784,0.42915681567540387,0.6092494350591077,0.23443416815972162,0.5500926052415024,0.5366462025789931,True
A6,2,1,3,124743,0.7,2,0.3841650239859771,5784,0.4348838751172985,0.6161011568085689,0.21711797767759378,0.5489005333699134,0.5143682752739868,False
A6,2,2,3,124743,1.0,4,0.39069163347989,5784,0.44893882236994365,0.6372049181847942,0.16256615268683328,0.5149840010820143,0.4900402955931026,False
A2+D1,2,0,3,124743,0.35,2,0.36634281222542037,5784,0.42699615590167195,0.6063554026026147,0.24169001470083462,0.5553219968003918,0.5331962211466296,True
A2+D1,2,1,3,124743,0.7,2,0.38077138746206785,5784,0.4417073950298086,0.6283501684578273,0.18567879595375225,0.5320724983332987,0.518262030874449,False
A2+D1,2,2,3,124743,1.0,4,0.3850679724065582,5784,0.44783123971670025,0.6370397627732233,0.16300020083711242,0.518520809265945,0.500916784751841,False
A2+D2,2,0,3,124743,0.35,2,0.3656362767707185,5784,0.4371010543551861,0.6244061383253476,0.19586938043993896,0.5293573220992711,0.5214111340030332,True
A2+D2,2,1,3,124743,0.7,2,0.38042713138715584,5784,0.4512876179919788,0.6435499695672039,0.1458054031171674,0.5097236573699269,0.5049705175347917,False
A2+D2,2,2,3,124743,1.0,4,0.38860133588555285,5784,0.4521954240866208,0.6433724404696336,0.14627661277255666,0.5107133824773146,0.48359527013101344,False
A2+D3,2,0,3,124743,0.35,2,0.3634368703109824,5784,0.4319094460422576,0.6089591969796464,0.23516340455552975,0.562988103385976,0.4959700153915672,True
A2+D3,2,1,3,124743,0.7,2,0.3742810137871919,5784,0.439897168880941,0.6194409826031207,0.20860711372267915,0.5572297393493832,0.46943369929832285,False
A2+D3,2,2,3,124743,1.0,4,0.38523919885284985,5784,0.4582954663058494,0.6465489885882083,0.13782555699947696,0.5090857885120208,0.4516321869950557,False
A2+D4,2,0,3,124743,0.35,2,0.36687309692632303,5784,0.4371041177923843,0.6232798850785275,0.19876761571429735,0.5325350235751977,0.5195872681233874,True
A2+D4,2,1,3,124743,0.7,2,0.3786234269788716,5784,0.4531024794636528,0.6471563813261683,0.1362048770926494,0.5035721895396624,0.4976955252346469,False
A2+D4,2,2,3,124743,1.0,4,0.3885141727173049,5784,0.45878967287236955,0.6552445889939721,0.11447840178537028,0.49208845355084724,0.4746518468358052,False
A2+D5,2,0,3,124743,0.35,2,0.36673502129050495,5784,0.44156902578206153,0.6297282024234772,0.18210310570694777,0.5253973935648601,0.5109163790028928,True
A2+D5,2,1,3,124743,0.7,2,0.37816564129868574,5784,0.45743293652698425,0.6546917446127272,0.1159720398063232,0.4940735552991156,0.49628211542978684,False
A2+D5,2,2,3,124743,1.0,4,0.3871129512055546,5784,0.4602144331597364,0.6567636183859674,0.11036789848909534,0.49130833522540557,0.4824641833035968,False
A5_SHUFFLED_s1009,2,0,3,124743,0.35,2,0.3703329104579589,5784,0.43022409779404747,0.6093122363104739,0.23427633142673732,0.5500481358998504,0.5370712205563377,True
A5_SHUFFLED_s1009,2,1,3,124743,0.7,2,0.3837592742006287,5784,0.4429128662689093,0.6270821560956071,0.18896208460850838,0.5330196121969278,0.5156654574900443,False
A5_SHUFFLED_s1009,2,2,3,124743,1.0,4,0.3904509520732178,5784,0.4443313123650964,0.6271565836123238,0.1887695512389922,0.5330163307309668,0.5011036108520653,False
A5_SHUFFLED_s2017,2,0,3,124743,0.35,2,0.3701167606230058,5784,0.4304313314925568,0.6112409247905567,0.22942108745051049,0.5474256635049701,0.5367487086826901,True
A5_SHUFFLED_s2017,2,1,3,124743,0.7,2,0.3752019695571527,5784,0.43598954980354415,0.6188754050576404,0.21005160874940154,0.542694999548297,0.5215312585704378,False
A5_SHUFFLED_s2017,2,2,3,124743,1.0,4,0.38672918176973603,5784,0.441184336615358,0.6232344392750876,0.1988844535036195,0.5384021076532322,0.5072214845649355,False
A5_SHUFFLED_s3019,2,0,3,124743,0.35,2,0.3733259051271575,5784,0.43340903525008,0.6145266140998508,0.2211144188847285,0.5409776529236844,0.5216926086902636,True
A5_SHUFFLED_s3019,2,1,3,124743,0.7,2,0.38392020559338547,5784,0.44547681735964223,0.6325567758808702,0.17473904860343514,0.5221917198309962,0.5023052661988343,False
A5_SHUFFLED_s3019,2,2,3,124743,1.0,4,0.38794079167951767,5784,0.44645221507115873,0.6321364106273831,0.17583553755900194,0.5236145943847583,0.48955538222517164,False
A0,3,0,3,134750,0.35,2,0.6330676124088271,3778,0.6003221653237435,0.9230359227393603,-0.533158494727481,0.05157853889342589,-0.04163131425996692,True
A0,3,1,3,134750,0.7,2,0.6330676124088271,3778,0.6003221653237435,0.9230359227393603,-0.533158494727481,0.1633625924787254,0.09343644586040434,False
A0,3,2,3,134750,1.0,4,0.6330676124088271,3778,0.6003221653237435,0.9230359227393603,-0.533158494727481,0.059496653463150154,0.05905211525433316,False
A1,3,0,3,134750,0.35,2,0.3752367731219595,3778,0.40353777826231235,0.5700835487606067,0.41517374140195074,0.6615968946306804,0.5364680264793366,False
A1,3,1,3,134750,0.7,2,0.3735860119728966,3778,0.39732023619555745,0.5574533815380558,0.4408002666334817,0.6785043804048901,0.5510905056317038,True
A1,3,2,3,134750,1.0,4,0.37409610033472535,3778,0.391447365700514,0.5517336766161393,0.45221664266334427,0.6842751579411797,0.5640552423660343,False
A2,3,0,3,134750,0.35,2,0.35019659439898904,3778,0.3868600994119797,0.5635625180923473,0.4284765571361945,0.6662357586932076,0.5802511731113172,False
A2,3,1,3,134750,0.7,2,0.3474680462424514,3778,0.3873893299221099,0.5614722826000975,0.43270821962416706,0.6694067072501906,0.5777047039971138,True
A2,3,2,3,134750,1.0,4,0.3598793410843567,3778,0.39705150440430564,0.5718355551043193,0.4115735892127038,0.6552487017316312,0.5664822759850492,False
A3,3,0,3,134750,0.35,2,0.38715044814505273,3778,0.41307113242741245,0.5963471997890878,0.36004679889171776,0.6176189969974848,0.5350066502041496,True
A3,3,1,3,134750,0.7,2,0.3892645936587435,3778,0.4121332476939962,0.5900801067381701,0.3734268300215696,0.6301920447585689,0.5278264501248244,False
