cell,rank,label,candidate,n_draws,n_converged,n_failed,purity_p5,purity_p50,purity_p95,recovery_p5,recovery_p50,recovery_p95,p_converged,p_constraints,p_feasible,p_phase_unknown,p_third_phase_risk,p_purity_ge_0.95,p_purity_ge_0.97,p_purity_ge_0.99,p_recovery_ge_0.80,p_recovery_ge_0.85,p_recovery_ge_0.90,p_both_0.95_0.80,p_both_feasible_0.95_0.80,p_both_0.95_0.85,p_both_feasible_0.95_0.85,p_both_0.95_0.90,p_both_feasible_0.95_0.90,p_both_0.97_0.80,p_both_feasible_0.97_0.80,p_both_0.97_0.85,p_both_feasible_0.97_0.85,p_both_0.97_0.90,p_both_feasible_0.97_0.90,p_both_0.99_0.80,p_both_feasible_0.99_0.80,p_both_0.99_0.85,p_both_feasible_0.99_0.85,p_both_0.99_0.90,p_both_feasible_0.99_0.90,consumption_index_median,throughput_median,n_stages_total,n_ext,n_scr,n_str,oa_ext,s_over_a,w_over_a,feed_stage_offset,scrub_return_offset,scrub_acid_M,scrub_target_mM,strip_acid_M,ligand_total_M,statuses_used,support_rank,obj_p_both_feasible,obj_p_both
0.95_0.80,31,transfer-unsupported,82,64,64,0,0.248564,0.844861,1,2.46366e-05,0.0575564,0.0795518,1,0.015625,0.015625,0,0.984375,0.375,0.375,0.328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3330.89,0.000816901,63,17,20,26,1.20564,0.516796,0.616283,16,0,3.74255,2.29251,1.27658,0.0691099,INTERPOLATION,2,0,0
0.95_0.80,32,transfer-unsupported,85,64,60,4,0.965214,1,1,7.55235e-31,4.9178e-18,7.2205e-15,0.9375,0.015625,0.015625,0,0.984375,0.9375,0.875,0.84375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3814.09,0.000708532,62,30,27,5,0.461789,0.909649,0.331123,3,0,1.73241,37.2135,3.40204,0.0979023,INTERPOLATION,2,0,0
0.95_0.80,33,transfer-unsupported,89,64,64,0,0.798369,0.912133,1,0.00362594,0.210412,0.252048,1,0.015625,0.015625,0,0.984375,0.453125,0.390625,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4492.27,0.00600936,13,4,5,4,4.72883,4.21944,4.68067,3,0,3.05894,11.1767,3.00996,0.174356,INTERPOLATION,2,0,0
0.95_0.80,34,transfer-unsupported,14,64,63,1,0.964447,1,1,1.5659e-10,1.52074e-06,2.63431e-05,0.984375,0.015625,0.015625,0,0.984375,0.984375,0.90625,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4669.02,0.00255662,55,25,8,22,2.0007,3.02906,2.86279,0,7,0.968471,39.8231,3.14495,0.0800066,INTERPOLATION,2,0,0
0.95_0.80,35,transfer-unsupported,23,64,64,0,0.493273,0.854534,1,2.71045e-05,0.201374,0.256884,1,0.015625,0.015625,0,0.984375,0.375,0.375,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5380.36,0.00334277,40,9,18,13,1.48401,2.11695,3.99614,8,0,4.18889,4.24085,2.28152,0.259917,INTERPOLATION,2,0,0
0.95_0.80,36,transfer-unsupported,61,64,64,0,0.835574,0.961377,0.999795,0.0118727,0.0777752,0.106161,1,0.015625,0.015625,0,0.984375,0.5625,0.46875,0.296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6030.35,0.00452808,33,24,1,8,3.88294,4.03981,2.78579,0,10,4.38238,41.7273,3.44661,0.0616901,INTERPOLATION,2,0,0
0.95_0.80,37,transfer-unsupported,46,64,64,0,0.955006,1,1,7.92868e-28,4.85954e-20,3.82814e-17,1,0.015625,0.015625,0,0.984375,0.953125,0.921875,0.921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6274.05,0.00162699,41,12,12,17,0.37459,2.32625,3.49952,11,0,3.9576,25.8798,0.285827,0.116439,INTERPOLATION,2,0,0
0.95_0.80,38,transfer-unsupported,90,64,64,0,0.826884,0.999975,1,1.76387e-09,0.000860318,0.0297164,1,0.015625,0.015625,0,0.984375,0.859375,0.765625,0.734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6589.33,0.00301645,62,26,6,30,0.652948,4.19097,4.90579,2,0,1.66467,9.42921,2.6295,0.261675,INTERPOLATION,2,0,0
0.95_0.80,39,transfer-unsupported,241,64,64,0,0.891552,0.998104,1,0.000267741,0.014652,0.0186083,1,0.015625,0.015625,0,0.984375,0.8125,0.734375,0.671875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6727.84,0.0037165,19,2,3,14,1.68887,1.54115,4.55114,0,1,1.80341,49.875,4.88331,0.0933332,INTERPOLATION,2,0,0
0.95_0.80,40,transfer-unsupported,141,64,64,0,0.820411,0.982147,1,1.49441e-05,0.086555,0.118679,1,0.015625,0.015625,0,0.984375,0.59375,0.53125,0.46875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6734.11,0.00356219,16,4,6,6,3.71799,3.20138,3.30294,1,0,2.73299,16.198,4.61367,0.110515,INTERPOLATION,2,0,0
