label,candidate,n_draws,n_converged,n_failed,purity_p5,purity_p50,purity_p95,recovery_p5,recovery_p50,recovery_p95,p_converged,p_constraints,p_feasible,p_phase_unknown,p_third_phase_risk,p_purity_ge_0.95,p_purity_ge_0.97,p_purity_ge_0.99,p_recovery_ge_0.80,p_recovery_ge_0.85,p_recovery_ge_0.90,p_both_0.95_0.80,p_both_feasible_0.95_0.80,p_both_0.95_0.85,p_both_feasible_0.95_0.85,p_both_0.95_0.90,p_both_feasible_0.95_0.90,p_both_0.97_0.80,p_both_feasible_0.97_0.80,p_both_0.97_0.85,p_both_feasible_0.97_0.85,p_both_0.97_0.90,p_both_feasible_0.97_0.90,p_both_0.99_0.80,p_both_feasible_0.99_0.80,p_both_0.99_0.85,p_both_feasible_0.99_0.85,p_both_0.99_0.90,p_both_feasible_0.99_0.90,consumption_index_median,throughput_median,n_stages_total,n_ext,n_scr,n_str,oa_ext,s_over_a,w_over_a,feed_stage_offset,scrub_return_offset,scrub_acid_M,scrub_target_mM,strip_acid_M,ligand_total_M,statuses_used
transfer-unsupported,30,64,59,5,0.956878,1,1,5.03437e-31,7.26567e-17,1.61682e-13,0.921875,0.046875,0.046875,0,0.90625,0.921875,0.84375,0.828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6506.48,0.00247782,48,30,15,3,4.80535,3.97403,1.12647,15,0,3.00113,35.5634,3.72429,0.0434859,CONDITION_EXTRAPOLATION|INTERPOLATION|OUTSIDE_TABLE
transfer-unsupported,31,64,63,1,0.813492,0.999573,1,2.22227e-13,0.0805562,0.137156,0.984375,0,0,0,1,0.59375,0.5625,0.515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750.69,0.00529302,42,6,20,16,1.97199,1.82727,1.64897,0,5,3.42837,35.0594,1.82046,0.210183,INTERPOLATION|OUTSIDE_TABLE
transfer-unsupported,32,64,64,0,0.95585,1,1,1.21153e-27,8.85458e-13,5.99846e-06,1,0.015625,0.015625,0,0.984375,0.953125,0.90625,0.90625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2918.43,0.00129582,52,4,25,23,1.85475,1.70584,1.63445,0,3,0.696916,33.2338,1.58641,0.0826163,INTERPOLATION|OUTSIDE_TABLE
transfer-unsupported,33,64,62,2,0.999945,1,1,6.89842e-39,5.15944e-29,2.08884e-24,0.96875,0.046875,0.046875,0,0,0.96875,0.953125,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8166.41,0.00158864,80,25,28,27,2.58761,3.19019,2.87621,0,8,3.70875,28.3327,0.397008,0.0196722,CONDITION_EXTRAPOLATION|INTERPOLATION|OUTSIDE_TABLE
transfer-unsupported,34,64,16,48,0.69096,0.864826,1,3.60953e-33,2.05077e-12,0.0145261,0.25,0,0,0,1,0.109375,0.109375,0.109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4592.73,0.004464,73,27,29,17,1.87662,2.48667,4.07728,12,0,4.45156,23.6056,2.29788,0.153094,INTERPOLATION|OUTSIDE_TABLE
transfer-unsupported,35,64,62,2,0.928725,1,1,5.44576e-22,2.25314e-10,8.82642e-07,0.96875,0.015625,0.015625,0,0.984375,0.875,0.859375,0.828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6120.99,0.0026873,52,21,5,26,1.66692,4.14113,2.73604,19,0,1.77553,14.6338,3.32459,0.0840962,INTERPOLATION|OUTSIDE_TABLE
transfer-unsupported,36,64,64,0,0.687592,0.933676,0.999907,0.000209245,0.00455713,0.00767069,1,0,0,0,1,0.4375,0.375,0.265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16144.5,0.000170066,36,27,2,7,0.936141,0.897229,0.777665,0,17,0.435052,19.8448,3.0286,0.168862,INTERPOLATION
transfer-unsupported,37,64,60,4,0.981202,1,1,2.66037e-35,1.19684e-22,1.36375e-18,0.9375,0,0,0,1,0.9375,0.9375,0.859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4019.86,0.00258682,59,10,23,26,0.923533,4.06274,0.4213,9,0,2.32393,48.7506,2.27175,0.236828,INTERPOLATION|OUTSIDE_TABLE
transfer-unsupported,38,64,60,4,0.724105,0.761153,0.971895,0.509881,0.996311,1,0.9375,0,0,0,1,0.0625,0.0625,0.046875,0.796875,0.796875,0.78125,0.046875,0,0.046875,0,0.046875,0,0.046875,0,0.046875,0,0.046875,0,0.03125,0,0.03125,0,0.03125,0,293.486,0.0133528,44,21,8,15,4.05367,0.971431,4.26764,0,15,2.57834,4.79723,0.33137,0.269827,INTERPOLATION|OUTSIDE_TABLE
transfer-unsupported,39,64,64,0,1,1,1,1.06539e-79,9.63625e-54,1.22341e-23,1,0.546875,0.546875,0,0,1,0.984375,0.984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127140,1.60219e-05,50,22,9,19,0.265665,2.27641,1.59369,21,0,0.634777,2.1198,0.370516,0.0254431,CONDITION_EXTRAPOLATION|INTERPOLATION
transfer-unsupported,40,64,64,0,0.745169,0.776803,0.956333,0.495426,0.888334,0.903778,1,0,0,0,1,0.0625,0.046875,0.03125,0.796875,0.765625,0.203125,0.046875,0,0.046875,0,0.03125,0,0.03125,0,0.03125,0,0.03125,0,0.015625,0,0.015625,0,0.015625,0,71.5632,0.0126366,42,1,18,23,4.49773,0.262494,0.523221,0,0,3.11627,34.1532,0.16497,0.263929,INTERPOLATION
transfer-unsupported,41,64,59,5,0.843249,0.980777,1,1.9386e-18,0.0832463,0.111284,0.921875,0,0,0,1,0.515625,0.46875,0.453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3441.56,0.00285637,44,8,30,6,2.2081,1.46688,1.52956,0,7,1.60802,33.1255,4.88479,0.198698,INTERPOLATION|OUTSIDE_TABLE
transfer-unsupported,42,64,64,0,0.712467,0.768636,0.935244,0.545224,0.929543,0.990657,1,0.015625,0.015625,0,0.984375,0.046875,0.046875,0.046875,0.796875,0.703125,0.609375,0.03125,0,0.03125,0,0.03125,0,0.03125,0,0.03125,0,0.03125,0,0.03125,0,0.03125,0,0.03125,0,149.793,0.0127179,34,11,16,7,4.93169,0.834291,3.45498,10,0,2.15429,7.04453,0.0311882,0.154512,INTERPOLATION
transfer-unsupported,43,64,35,29,0.602536,1,1,8.27675e-41,4.95943e-10,0.0318904,0.546875,0.046875,0.046875,0,0.953125,0.390625,0.375,0.359375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27393.7,0.00102804,59,23,24,12,1.32429,3.12523,4.56384,18,0,4.74656,3.08342,2.92028,0.0471374,CONDITION_EXTRAPOLATION|INTERPOLATION|OUTSIDE_TABLE
transfer-unsupported,44,64,54,10,0.626955,0.999755,1,3.33016e-12,0.0104644,0.270292,0.84375,0,0,0,1,0.546875,0.53125,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024.66,0.010806,51,29,18,4,1.91774,4.50023,3.38176,0,8,1.87596,19.3835,0.777411,0.280124,INTERPOLATION|OUTSIDE_TABLE
transfer-unsupported,45,64,64,0,0.999995,1,1,2.26331e-39,1.43283e-31,5.11829e-27,1,0.046875,0.046875,0,0.3125,1,1,0.984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14700.3,0.000924683,55,10,26,19,0.980404,3.94933,1.73021,0,9,3.03543,19.7866,0.925893,0.0298305,CONDITION_EXTRAPOLATION|INTERPOLATION
transfer-unsupported,46,64,64,0,0.955006,1,1,7.92868e-28,4.85954e-20,3.82814e-17,1,0.015625,0.015625,0,0.984375,0.953125,0.921875,0.921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6274.05,0.00162699,41,12,12,17,0.37459,2.32625,3.49952,11,0,3.9576,25.8798,0.285827,0.116439,INTERPOLATION
